freq,word,pron,type1
1036,です,デス,助動詞
882,ない,ナイ,形容詞
551,から,カラ,助詞
501,さん,サン,名詞
464,こと,コト,名詞
410,ます,マス,助動詞
353,そう,ソー,名詞
353,岡崎,オカザキ,名詞
339,って,ッテ,助詞
323,てる,テル,動詞
321,おまえ,オマエ,名詞
318,じゃ,ジャ,助詞
290,いい,イイ,形容詞
268,だろ,ダロ,助動詞
242,ちゃん,チャン,名詞
239,それ,ソレ,名詞
206,たら,タラ,助動詞
203,けど,ケド,助詞
198,まし,マシ,助動詞
195,わたし,ワタシ,名詞
188,あの,アノ,連体詞
188,する,スル,動詞
181,なっ,ナッ,動詞
179,だっ,ダッ,助動詞
173,風子,フウコ,名詞
162,この,コノ,連体詞
161,いる,イル,動詞
161,これ,コレ,名詞
157,ある,アル,動詞
156,くれ,クレ,動詞
146,どう,ドー,副詞
146,はい,ハイ,感動詞
132,だけ,ダケ,助詞
132,ことみ,コトミ,名詞
130,言っ,イッ,動詞
123,でしょ,デショ,助動詞
121,ねぇ,ネー,助詞
120,なら,ナラ,助動詞
118,その,ソノ,連体詞
115,ああ,アー,感動詞
113,たい,タイ,助動詞
112,なかっ,ナカッ,形容詞
111,春原,ハルハラ,名詞
110,やっ,ヤッ,動詞
109,ませ,マセ,助動詞
108,ここ,ココ,名詞
106,なく,ナク,形容詞
104,ください,クダサイ,動詞
103,あっ,アッ,動詞
100,いっ,イッ,動詞
100,たち,タチ,名詞
100,そんな,ソンナ,連体詞
98,くん,クン,名詞
96,今日,キョー,名詞
94,思っ,オモッ,動詞
93,まで,マデ,助詞
89,演劇,エンゲキ,名詞
87,でも,デモ,接続詞
86,よう,ヨー,名詞
84,ちょっと,チョット,副詞
83,先生,センセイ,名詞
82,思い,オモイ,動詞
81,こんな,コンナ,連体詞
80,よかっ,ヨカッ,形容詞
79,いや,イヤ,感動詞
73,もう,モー,副詞
72,ゴシック,ゴシック,名詞
72,中丸,ナカマル,名詞
72,だって,ダッテ,助詞
71,一緒,イッショ,名詞
71,学校,ガッコー,名詞
70,友達,トモダチ,名詞
69,なんて,ナンテ,助詞
68,お父さん,オトーサン,名詞
67,のに,ノニ,助詞
64,好き,スキ,名詞
63,ヒトデ,ヒトデ,名詞
62,もの,モノ,名詞
62,みたい,ミタイ,名詞
61,わけ,ワケ,名詞
60,とか,トカ,助詞
60,また,マタ,接続詞
60,えッ,エッ,感動詞
60,られ,ラレ,動詞
60,なんか,ナンカ,フィラー
60,世界,セカイ,名詞
60,あんた,アンタ,名詞
59,でき,デキ,動詞
59,なる,ナル,動詞
58,そういう,ソーユウ,連体詞
57,すっ,スッ,動詞
57,生徒,セイト,名詞
57,ずっと,ズット,副詞
56,早苗,サナエ,名詞
56,どこ,ドコ,名詞
56,あいつ,アイツ,名詞
55,みんな,ミンナ,名詞
54,古河,フルカワ,名詞
54,でし,デシ,助動詞
54,思う,オモウ,動詞
53,パン,パン,名詞
53,悪い,ワルイ,形容詞
52,自分,ジブン,名詞
51,伊吹,イブキ,名詞
50,かも,カモ,助詞
50,おい,オイ,名詞
50,うん,ウン,感動詞
47,あッ,アッ,感動詞
47,智代,トモヨ,名詞
47,家族,カゾク,名詞
47,くれる,クレル,動詞
46,お母さん,オカーサン,名詞
46,言わ,イワ,動詞
46,女の子,オンナノコ,名詞
45,明日,アシタ,名詞
45,えっ,エッ,感動詞
45,よっ,ヨッ,動詞
45,大丈夫,ダイジョーブ,名詞
45,ござい,ゴザイ,助動詞
44,どうぞ,ドーゾ,副詞
44,聞い,キイ,動詞
43,とても,トテモ,副詞
43,忘れ,ワスレ,動詞
43,やっぱり,ヤッパリ,副詞
42,ちゃ,チャ,助詞
42,なり,ナリ,動詞
42,本当に,ホントーニ,副詞
42,しまっ,シマッ,動詞
41,なん,ナン,動詞
41,まだ,マダ,副詞
41,やる,ヤル,動詞
41,ありがとう,アリガトー,感動詞
40,ため,タメ,名詞
40,ダメ,ダメ,名詞
40,もん,モン,名詞
40,ましょ,マショ,助動詞
40,わかっ,ワカッ,動詞
40,できる,デキル,動詞
40,行く,イク,動詞
40,ちゃんと,チャント,副詞
40,一ノ瀬,イチノセ,名詞
40,あなた,アナタ,名詞
39,時間,ジカン,名詞
39,しれ,シレ,動詞
38,よく,ヨク,副詞
38,ところ,トコロ,名詞
38,どうして,ドーシテ,副詞
38,とっても,トッテモ,副詞
38,言う,イウ,動詞
38,あたし,アタシ,名詞
37,知っ,シッ,動詞
37,はず,ハズ,名詞
37,なぁ,ナー,助詞
37,こう,コー,副詞
37,という,トユウ,助詞
37,きっと,キット,副詞
37,こっち,コッチ,名詞
36,あれ,アレ,名詞
36,あり,アリ,動詞
36,名前,ナマエ,名詞
36,たくさん,タクサン,名詞
35,なに,ナニ,名詞
35,ほら,ホラ,感動詞
35,いく,イク,動詞
35,ちゃっ,チャッ,動詞
34,いけ,イケ,動詞
34,より,ヨリ,助詞
34,じゃあ,ジャー,助詞
33,相手,アイテ,名詞
33,そこ,ソコ,名詞
33,気持ち,キモチ,名詞
33,なさい,ナサイ,動詞
32,くる,クル,動詞
32,ほしい,ホシイ,形容詞
32,考え,カンガエ,動詞
32,こいつ,コイツ,名詞
31,いえ,イエ,動詞
31,あげ,アゲ,動詞
31,ただ,タダ,接続詞
31,もらっ,モラッ,動詞
30,ねー,ネー,助詞
30,違う,チガウ,動詞
30,作っ,ツクッ,動詞
30,待っ,マッ,動詞
30,姉ちゃん,ネーチャン,名詞
30,行っ,イッ,動詞
30,さっき,サッキ,名詞
30,いつも,イツモ,副詞
29,はぁ,ハー,感動詞
29,ふたり,フタリ,名詞
28,たり,タリ,助詞
28,まあ,マー,副詞
28,んで,ンデ,助詞
28,もっと,モット,副詞
28,心配,シンパイ,名詞
28,ひとり,ヒトリ,副詞
28,結婚,ケッコン,名詞
28,ヴァイオリン,バイオリン,名詞
27,お願い,オネガイ,名詞
27,こんにちは,コンニチワ,感動詞
27,いう,イウ,動詞
27,しか,シカ,助詞
27,れる,レル,動詞
27,何で,ナンデ,副詞
27,そして,ソシテ,接続詞
27,場所,バショ,名詞
27,可愛い,カワイイ,形容詞
27,バスケ,バスケ,名詞
26,すみません,スミマセン,感動詞
26,ので,ノデ,助詞
26,ほう,ホー,名詞
26,たく,タク,助動詞
26,関係,カンケイ,名詞
26,毎日,マイニチ,名詞
26,話し,ハナシ,動詞
25,知ら,シラ,動詞
25,マジ,マジ,名詞
25,授業,ジュギョー,名詞
25,どんな,ドンナ,連体詞
25,ホント,ホント,名詞
25,すごい,スゴイ,形容詞
25,芽衣,メイ,名詞
25,タイトル,タイトル,名詞
24,言葉,コトバ,名詞
24,はっ,ハッ,感動詞
24,かっ,カッ,動詞
24,結婚式,ケッコンシキ,名詞
24,入っ,ハイッ,動詞
24,意味,イミ,名詞
24,わから,ワカラ,動詞
24,しまい,シマイ,動詞
24,つもり,ツモリ,名詞
24,失礼,シツレイ,名詞
24,いつか,イツカ,名詞
23,でる,デル,動詞
23,ヘン,ヘン,名詞
23,られる,ラレル,動詞
23,うれしい,ウレシイ,形容詞
23,プレゼント,プレゼント,名詞
23,次回,ジカイ,名詞
23,言い,イイ,動詞
22,楽しい,タノシイ,形容詞
22,かけ,カケ,動詞
22,探し,サガシ,動詞
22,持っ,モッ,動詞
22,食べ,タベ,動詞
22,大事,ダイジ,名詞
22,秋生,アキオ,名詞
21,最悪,サイアク,名詞
21,うち,ウチ,名詞
21,しろ,シロ,動詞
21,やり,ヤリ,動詞
21,部員,ブイン,名詞
21,同じ,オナジ,連体詞
21,付き合っ,ツキアッ,動詞
21,幸せ,シアワセ,名詞
21,なんで,ナンデ,副詞
21,練習,レンシュー,名詞
21,オッサン,オッサン,名詞
21,予告,ヨコク,名詞
21,おはよう,オハヨー,感動詞
21,覚え,オボエ,動詞
21,少し,スコシ,副詞
20,頑張っ,ガンバッ,動詞
20,とっ,トッ,動詞
20,とき,トキ,動詞
20,あー,アー,感動詞
20,これから,コレカラ,副詞
20,ちまっ,チマッ,動詞
19,アイツ,アイツ,名詞
19,合唱,ガッショー,名詞
19,早く,ハヤク,形容詞
19,せい,セイ,名詞
19,公子,キミコ,名詞
19,まさか,マサカ,副詞
19,入れ,イレ,動詞
19,無理,ムリ,名詞
19,彼女,カノジョ,名詞
19,じゃん,ジャン,助動詞
19,委員,イイン,名詞
18,試合,シアイ,名詞
18,親父,オヤジ,名詞
18,つい,ツイ,動詞
18,いつ,イツ,名詞
18,坂上,サカガミ,名詞
18,もらえ,モラエ,動詞
18,会長,カイチョー,名詞
18,こんなに,コンナニ,副詞
18,呼ん,ヨン,動詞
18,として,トシテ,助詞
18,どうか,ドーカ,副詞
18,なけれ,ナケレ,助動詞
18,芝居,シバイ,名詞
18,興味,キョーミ,名詞
18,事故,ジコ,名詞
18,いじめ,イジメ,動詞
18,見え,ミエ,動詞
18,子供,コドモ,名詞
17,最後,サイゴ,名詞
17,確か,タシカ,名詞
17,不思議,フシギ,名詞
17,とこ,トコ,名詞
17,こそ,コソ,助詞
17,来る,クル,動詞
17,しよ,シヨ,動詞
17,違い,チガイ,名詞
17,連れ,ツレ,動詞
17,仁科,ニシナ,名詞
17,あんまり,アンマリ,副詞
17,必要,ヒツヨー,名詞
17,年生,ネンセイ,名詞
17,信じ,シンジ,動詞
17,藤林,フジバヤシ,名詞
17,よろしく,ヨロシク,副詞
16,お話,オハナシ,名詞
16,終わっ,オワッ,動詞
16,とい,トイ,動詞
16,あん,アン,動詞
16,すぎ,スギ,名詞
16,よー,ヨー,助詞
16,部屋,ヘヤ,名詞
16,迷惑,メイワク,名詞
16,っていう,ッテユウ,助詞
16,絶対,ゼッタイ,名詞
16,待て,マテ,動詞
16,てめぇ,テメー,名詞
16,緊張,キンチョー,名詞
16,なんだか,ナンダカ,副詞
16,くらい,クライ,助詞
16,ぐらい,グライ,助詞
16,顧問,コモン,名詞
16,読ん,ヨン,動詞
16,それなら,ソレナラ,接続詞
16,そんなに,ソンナニ,副詞
15,本当,ホントー,名詞
15,誕生,タンジョー,名詞
15,どうしても,ドーシテモ,副詞
15,お客,オキャク,名詞
15,とも,トモ,助詞
15,ほど,ホド,助詞
15,うわ,ウワ,感動詞
15,バカ,バカ,名詞
15,やつ,ヤツ,名詞
15,もらう,モラウ,動詞
15,おめでとう,オメデトー,感動詞
15,なきゃ,ナキャ,助動詞
15,思い出し,オモイダシ,動詞
15,邪魔,ジャマ,名詞
15,ばかり,バカリ,助詞
15,帰っ,カエッ,動詞
15,何だ,ナンダ,感動詞
15,休み,ヤスミ,動詞
15,幸村,ユキムラ,名詞
15,存在,ソンザイ,名詞
15,少女,ショージョ,名詞
14,みっ,ミッ,動詞
14,あと,アト,名詞
14,がっ,ガッ,動詞
14,すれ,スレ,動詞
